uniprot_id,gene
P29317,EPHA2
Q9HBH9,MKNK2
Q99759,MAP3K3
O94804,STK10
P51817,PRKX
P16066,NPR1
P06239,LCK
Q96NX5,CAMK1G
Q96SB4,SRPK1
O14976,GAK
Q32MK0,MYLK3
P07333,CSF1R
O75914,PAK3
Q13464,ROCK1
Q00532,CDKL1
Q9HCP0,CSNK1G1
Q9UBE8,NLK
A2RU49,HYKK
Q9Y3S1,WNK2
P57059,SIK1
Q9H479,FN3K
P22455,FGFR4
Q8N752,CSNK1A1L
Q02156,PRKCE
P54753,EPHB3
Q7Z695,ADCK2
Q96Q40,CDK15
Q13555,CAMK2G
Q9NYL2,MAP3K20
O94768,STK17B
Q86UX6,STK32C
Q6JQN1,ACAD10
O00141,SGK1
Q9BXU1,STK31
O75116,ROCK2
P54760,EPHB4
P41240,CSK
Q99558,MAP3K14
P27361,MAPK3
O00506,STK25
Q9H2X6,HIPK2
Q9H4B4,PLK3
Q96D53,COQ8B
Q9Y2K2,SIK3
Q15831,STK11
Q15746,MYLK
Q96C45,ULK4
Q92918,MAP4K1
Q9UPE1,SRPK3
Q16671,AMHR2
Q8IVH8,MAP4K3
P54756,EPHA5
P34947,GRK5
Q06187,BTK
P42338,PIK3CB
Q9Y2U5,MAP3K2
Q6P3W7,SCYL2
Q56UN5,MAP3K19
Q00526,CDK3
Q86YV6,MYLK4
Q9UHH9,IP6K2
Q96DU7,ITPKC
Q12852,MAP3K12
P49674,CSNK1E
P35626,GRK3
Q13882,PTK6
O95819,MAP4K4
Q9UKE5,TNIK
Q9UEW8,STK39
P21127,CDK11B
Q9UKI8,TLK1
P29320,EPHA3
P78368,CSNK1G2
Q8NE28,STKLD1
Q96L34,MARK4
Q8N2I9,STK40
Q709F0,ACAD11
Q9Y2H9,MAST1
Q13131,PRKAA1
P16591,FER
Q8NEV4,MYO3A
Q02846,GUCY2D
Q16513,PKN2
P78356,PIP4K2B
P00540,MOS
Q96RU8,TRIB1
P22612,PRKACG
P25098,GRK2
Q8NER5,ACVR1C
Q06418,TYRO3
P49760,CLK2
O14730,RIOK3
P15735,PHKG2
P21709,EPHA1
P27987,ITPKB
P08069,IGF1R
Q5VST9,OBSCN
Q9BVS4,RIOK2
